date,time,title,url,visitCount,transition
2026-08-01,09:14:22,ChatGPT,https://chatgpt.com/c/6f21a9,4,link
2026-08-01,09:41:07,Claude,https://claude.ai/chat/new,2,typed
2026-08-01,10:02:55,Confidential Q3 board deck - Google Docs,https://docs.google.com/document/d/1a2b3c,7,link
2026-08-01,10:18:31,Perplexity,https://www.perplexity.ai/search?q=kubernetes+ingress+504+timeout,1,typed
2026-08-01,11:47:09,Microsoft Copilot,https://copilot.microsoft.com/chats,3,link
2026-08-01,14:22:18,DeepSeek,https://chat.deepseek.com/,1,typed
2026-08-01,15:05:44,GitHub,https://github.com/acme/platform/pull/812,5,link
2026-08-02,08:55:02,Gemini,https://gemini.google.com/app,2,typed
2026-08-02,09:30:17,Cursor,https://cursor.com/dashboard,1,link
2026-08-02,12:11:49,Grammarly,https://app.grammarly.com/docs/9182,6,link
2026-08-02,16:44:03,Perplexity,https://www.perplexity.ai/search?q=how+to+share+customer+list+externally,1,typed
2026-08-02,22:18:37,ChatGPT,https://chatgpt.com/c/9d40bb,2,link
2026-08-03,10:07:12,Stack Overflow,https://stackoverflow.com/questions/78123456,3,link
2026-08-03,11:29:58,Hugging Face,https://huggingface.co/models,1,typed
2026-08-03,13:52:41,ChatPDF,https://www.chatpdf.com/upload,1,typed
2026-08-03,17:03:26,Claude,https://claude.ai/chat/44f0,4,link
2026-08-04,09:19:33,Sider AI,https://sider.ai/chat,2,link
2026-08-04,10:48:15,Internal LLM gateway,https://ai.internal-vendor-tools.com/chat,1,typed
2026-08-04,14:36:50,Jira,https://acme.atlassian.net/browse/PLAT-4412,9,link
2026-08-04,19:22:04,Grok,https://grok.com/chat,1,typed
